frame,time,px,py,pz,dx,dy,dz,fov
0,0.0,16.0,16.0,30.0,-0.467752,-0.109629,-0.877035,50.0
1,0.0208,15.9996,16.0,29.999349,-0.46775,-0.109632,-0.877035,50.0005
2,0.0417,15.998407,16.0,29.99741,-0.467746,-0.109639,-0.877036,50.002
3,0.0625,15.996434,16.0,29.994203,-0.46774,-0.109651,-0.877038,50.0045
4,0.0833,15.993693,16.0,29.989746,-0.467731,-0.109668,-0.877041,50.0079
5,0.1042,15.990197,16.0,29.984057,-0.467719,-0.109689,-0.877045,50.0123
6,0.125,15.985957,16.0,29.977154,-0.467705,-0.109715,-0.877049,50.0176
7,0.1458,15.980986,16.0,29.969053,-0.467689,-0.109745,-0.877054,50.0238
8,0.1667,15.975293,16.0,29.959769,-0.46767,-0.10978,-0.877059,50.031
9,0.1875,15.968892,16.0,29.949319,-0.467649,-0.109819,-0.877066,50.039
10,0.2083,15.961792,16.0,29.937716,-0.467626,-0.109862,-0.877073,50.0479
11,0.2292,15.954005,16.0,29.924975,-0.467601,-0.10991,-0.87708,50.0577
12,0.25,15.945542,16.0,29.911108,-0.467574,-0.109962,-0.877088,50.0684
13,0.2708,15.936413,16.0,29.896129,-0.467545,-0.110018,-0.877096,50.0799
14,0.2917,15.926629,16.0,29.880051,-0.467514,-0.110078,-0.877105,50.0923
15,0.3125,15.9162,16.0,29.862884,-0.467481,-0.110143,-0.877115,50.1055
16,0.3333,15.905136,16.0,29.844641,-0.467447,-0.110211,-0.877124,50.1196
17,0.3542,15.893446,16.0,29.825332,-0.467411,-0.110284,-0.877134,50.1345
18,0.375,15.881142,16.0,29.804968,-0.467374,-0.110361,-0.877144,50.1502
19,0.3958,15.868231,16.0,29.783559,-0.467335,-0.110441,-0.877155,50.1667
20,0.4167,15.854725,16.0,29.761115,-0.467295,-0.110526,-0.877166,50.184
21,0.4375,15.840632,16.0,29.737644,-0.467254,-0.110614,-0.877176,50.2021
22,0.4583,15.82596,16.0,29.713157,-0.467212,-0.110707,-0.877187,50.2209
23,0.4792,15.810721,16.0,29.687661,-0.467168,-0.110803,-0.877198,50.2406
24,0.5,15.794921,16.0,29.661166,-0.467124,-0.110904,-0.877209,50.2611
25,0.5208,15.77857,16.0,29.633679,-0.467079,-0.111008,-0.87722,50.2823
26,0.5417,15.761676,16.0,29.605208,-0.467033,-0.111116,-0.87723,50.3042
27,0.5625,15.744249,16.0,29.57576,-0.466987,-0.111228,-0.877241,50.327
28,0.5833,15.726295,16.0,29.545344,-0.46694,-0.111344,-0.877251,50.3505
29,0.6042,15.707824,16.0,29.513966,-0.466893,-0.111463,-0.877261,50.3747
30,0.625,15.688843,16.0,29.481633,-0.466845,-0.111587,-0.877271,50.3997
31,0.6458,15.66936,16.0,29.448352,-0.466797,-0.111714,-0.87728,50.4254
32,0.6667,15.649383,16.0,29.414129,-0.466749,-0.111845,-0.877289,50.4519
33,0.6875,15.628919,16.0,29.378971,-0.466701,-0.11198,-0.877297,50.479
34,0.7083,15.607977,16.0,29.342883,-0.466653,-0.112119,-0.877305,50.507
35,0.7292,15.586562,16.0,29.305873,-0.466605,-0.112261,-0.877312,50.5356
36,0.75,15.564684,16.0,29.267945,-0.466558,-0.112408,-0.877319,50.5649
37,0.7708,15.542347,16.0,29.229106,-0.466511,-0.112558,-0.877325,50.595
38,0.7917,15.519561,16.0,29.189361,-0.466464,-0.112712,-0.87733,50.6258
39,0.8125,15.49633,16.0,29.148716,-0.466417,-0.11287,-0.877334,50.6573
40,0.8333,15.472663,16.0,29.107177,-0.466371,-0.113031,-0.877338,50.6894
41,0.8542,15.448566,16.0,29.064748,-0.466326,-0.113196,-0.877341,50.7223
42,0.875,15.424044,16.0,29.021436,-0.466282,-0.113366,-0.877342,50.7559
43,0.8958,15.399105,16.0,28.977245,-0.466238,-0.113539,-0.877343,50.7902
44,0.9167,15.373755,16.0,28.932181,-0.466196,-0.113715,-0.877343,50.8251
45,0.9375,15.347999,16.0,28.886249,-0.466154,-0.113896,-0.877342,50.8607
46,0.9583,15.321844,16.0,28.839454,-0.466113,-0.114081,-0.877339,50.8971
47,0.9792,15.295296,16.0,28.791801,-0.466074,-0.114269,-0.877336,50.934
48,1.0,15.26836,16.0,28.743295,-0.466036,-0.114461,-0.877331,50.9717
49,1.0208,15.241041,16.0,28.693942,-0.465999,-0.114657,-0.877325,51.01
50,1.0417,15.213346,16.0,28.643747,-0.465963,-0.114857,-0.877318,51.049
51,1.0625,15.18528,16.0,28.592714,-0.465929,-0.115061,-0.877309,51.0887
52,1.0833,15.156847,16.0,28.540849,-0.465897,-0.115269,-0.877299,51.129
53,1.1042,15.128054,16.0,28.488158,-0.465866,-0.115481,-0.877288,51.17
54,1.125,15.098905,16.0,28.434644,-0.465836,-0.115696,-0.877275,51.2116
55,1.1458,15.069405,16.0,28.380314,-0.465809,-0.115916,-0.87726,51.2539
56,1.1667,15.039559,16.0,28.325172,-0.465783,-0.116139,-0.877245,51.2968
57,1.1875,15.009371,16.0,28.269224,-0.465758,-0.116367,-0.877227,51.3403
58,1.2083,14.978846,16.0,28.212475,-0.465736,-0.116598,-0.877208,51.3845
59,1.2292,14.947989,16.0,28.154931,-0.465716,-0.116834,-0.877188,51.4293
60,1.25,14.916804,16.0,28.096597,-0.465697,-0.117074,-0.877166,51.4747
61,1.2708,14.885295,16.0,28.037479,-0.465681,-0.117317,-0.877142,51.5208
62,1.2917,14.853467,16.0,27.977582,-0.465666,-0.117565,-0.877116,51.5675
63,1.3125,14.821323,16.0,27.916911,-0.465654,-0.117817,-0.877089,51.6148
64,1.3333,14.788867,16.0,27.855473,-0.465644,-0.118073,-0.87706,51.6627
65,1.3542,14.756103,16.0,27.793273,-0.465636,-0.118333,-0.87703,51.7112
66,1.375,14.723035,16.0,27.730318,-0.46563,-0.118597,-0.876997,51.7603
67,1.3958,14.689666,16.0,27.666612,-0.465626,-0.118866,-0.876963,51.81
68,1.4167,14.656,16.0,27.602163,-0.465624,-0.119138,-0.876927,51.8603
69,1.4375,14.622041,16.0,27.536977,-0.465625,-0.119415,-0.876889,51.9112
70,1.4583,14.587791,16.0,27.471059,-0.465628,-0.119696,-0.876849,51.9626
71,1.4792,14.553254,16.0,27.404416,-0.465633,-0.119982,-0.876807,52.0147
72,1.5,14.518432,16.0,27.337055,-0.46564,-0.120271,-0.876763,52.0673
73,1.5208,14.48333,16.0,27.268982,-0.46565,-0.120565,-0.876718,52.1205
74,1.5417,14.447949,16.0,27.200203,-0.465662,-0.120864,-0.876671,52.1742
75,1.5625,14.412292,16.0,27.130727,-0.465676,-0.121166,-0.876621,52.2285
76,1.5833,14.376363,16.0,27.060559,-0.465692,-0.121473,-0.87657,52.2834
77,1.6042,14.340164,16.0,26.989707,-0.465711,-0.121785,-0.876517,52.3388
78,1.625,14.303696,16.0,26.918178,-0.465732,-0.122101,-0.876462,52.3947
79,1.6458,14.266964,16.0,26.845979,-0.465755,-0.122421,-0.876405,52.4511
80,1.6667,14.229968,16.0,26.773119,-0.46578,-0.122746,-0.876346,52.5081
81,1.6875,14.192711,16.0,26.699603,-0.465807,-0.123076,-0.876285,52.5656
82,1.7083,14.155195,16.0,26.62544,-0.465837,-0.12341,-0.876223,52.6237
83,1.7292,14.117422,16.0,26.550639,-0.465868,-0.123748,-0.876158,52.6822
84,1.75,14.079395,16.0,26.475206,-0.465902,-0.124091,-0.876092,52.7412
85,1.7708,14.041114,16.0,26.399151,-0.465937,-0.124439,-0.876024,52.8008
86,1.7917,14.002582,16.0,26.322481,-0.465975,-0.124792,-0.875954,52.8608
87,1.8125,13.963799,16.0,26.245204,-0.466014,-0.125149,-0.875882,52.9213
88,1.8333,13.924769,16.0,26.16733,-0.466055,-0.125511,-0.875808,52.9822
89,1.8542,13.885491,16.0,26.088868,-0.466098,-0.125877,-0.875732,53.0437
90,1.875,13.845968,16.0,26.009825,-0.466143,-0.126249,-0.875655,53.1056
91,1.8958,13.806201,16.0,25.930211,-0.466189,-0.126625,-0.875576,53.1679
92,1.9167,13.76619,16.0,25.850036,-0.466237,-0.127006,-0.875496,53.2307
93,1.9375,13.725937,16.0,25.769308,-0.466286,-0.127392,-0.875413,53.294
94,1.9583,13.685443,16.0,25.688037,-0.466337,-0.127783,-0.87533,53.3576
95,1.9792,13.644708,16.0,25.606233,-0.466388,-0.128178,-0.875244,53.4217
96,2.0,13.603734,16.0,25.523906,-0.466441,-0.128579,-0.875157,53.4862
97,2.0208,13.562521,16.0,25.441065,-0.466495,-0.128985,-0.875069,53.5511
98,2.0417,13.52107,16.0,25.35772,-0.46655,-0.129395,-0.874979,53.6164
99,2.0625,13.479381,16.0,25.273882,-0.466606,-0.129811,-0.874887,53.6821
100,2.0833,13.437454,16.0,25.189562,-0.466662,-0.130232,-0.874795,53.7481
101,2.1042,13.395291,16.0,25.10477,-0.466719,-0.130658,-0.874701,53.8145
102,2.125,13.352891,16.0,25.019516,-0.466776,-0.131089,-0.874606,53.8813
103,2.1458,13.310254,16.0,24.933812,-0.466834,-0.131525,-0.87451,53.9485
104,2.1667,13.267381,16.0,24.847669,-0.466891,-0.131966,-0.874413,54.016
105,2.1875,13.224272,16.0,24.761098,-0.466949,-0.132412,-0.874314,54.0838
106,2.2083,13.180925,16.0,24.67411,-0.467006,-0.132864,-0.874215,54.1519
107,2.2292,13.137342,16.0,24.586717,-0.467063,-0.133321,-0.874115,54.2204
108,2.25,13.093523,16.0,24.498931,-0.467119,-0.133784,-0.874014,54.2891
109,2.2708,13.049465,16.0,24.410764,-0.467175,-0.134251,-0.873913,54.3582
110,2.2917,13.00517,16.0,24.322228,-0.46723,-0.134724,-0.873811,54.4275
111,2.3125,12.960637,16.0,24.233334,-0.467283,-0.135203,-0.873709,54.4971
112,2.3333,12.915865,16.0,24.144096,-0.467335,-0.135686,-0.873606,54.5669
113,2.3542,12.870854,16.0,24.054527,-0.467385,-0.136175,-0.873503,54.6371
114,2.375,12.825602,16.0,23.964638,-0.467434,-0.13667,-0.8734,54.7074
115,2.3958,12.780109,16.0,23.874443,-0.46748,-0.13717,-0.873297,54.778
116,2.4167,12.734374,16.0,23.783955,-0.467524,-0.137676,-0.873193,54.8488
117,2.4375,12.688396,16.0,23.693187,-0.467566,-0.138187,-0.87309,54.9198
118,2.4583,12.642175,16.0,23.602152,-0.467604,-0.138704,-0.872988,54.991
119,2.4792,12.595708,16.0,23.510865,-0.46764,-0.139226,-0.872886,55.0624
120,2.5,12.548994,16.0,23.419339,-0.467672,-0.139754,-0.872784,55.134
121,2.5208,12.502034,16.0,23.327588,-0.4677,-0.140287,-0.872683,55.2057
122,2.5417,12.454824,16.0,23.235626,-0.467725,-0.140826,-0.872583,55.2775
123,2.5625,12.407363,16.0,23.143468,-0.467745,-0.141371,-0.872485,55.3495
124,2.5833,12.359651,16.0,23.051127,-0.46776,-0.141922,-0.872387,55.4217
125,2.6042,12.311685,16.0,22.958619,-0.467771,-0.142478,-0.872291,55.4939
126,2.625,12.263464,16.0,22.865958,-0.467776,-0.143039,-0.872196,55.5662
127,2.6458,12.214985,16.0,22.773159,-0.467775,-0.143607,-0.872103,55.6387
128,2.6667,12.166248,16.0,22.680238,-0.467769,-0.14418,-0.872012,55.7112
129,2.6875,12.117251,16.0,22.587209,-0.467756,-0.144759,-0.871923,55.7837
130,2.7083,12.06799,16.0,22.494089,-0.467736,-0.145344,-0.871836,55.8563
131,2.7292,12.018465,16.0,22.400892,-0.46771,-0.145935,-0.871751,55.9289
132,2.75,11.968673,16.0,22.307635,-0.467675,-0.146531,-0.87167,56.0016
133,2.7708,11.918612,16.0,22.214333,-0.467633,-0.147133,-0.871591,56.0742
134,2.7917,11.86828,16.0,22.121003,-0.467582,-0.147741,-0.871516,56.1469
135,2.8125,11.817674,16.0,22.027661,-0.467523,-0.148355,-0.871443,56.2195
136,2.8333,11.766792,16.0,21.934324,-0.467454,-0.148974,-0.871375,56.2921
137,2.8542,11.715631,16.0,21.841007,-0.467375,-0.1496,-0.87131,56.3646
138,2.875,11.66419,16.0,21.747729,-0.467286,-0.150231,-0.871249,56.4371
139,2.8958,11.612465,16.0,21.654505,-0.467186,-0.150868,-0.871192,56.5095
140,2.9167,11.560454,16.0,21.561353,-0.467075,-0.151511,-0.87114,56.5818
141,2.9375,11.508154,16.0,21.468291,-0.466952,-0.152159,-0.871093,56.654
142,2.9583,11.455562,16.0,21.375335,-0.466817,-0.152814,-0.871051,56.726
143,2.9792,11.402676,16.0,21.282504,-0.466669,-0.153474,-0.871014,56.7979
144,3.0,11.349492,16.0,21.189814,-0.466508,-0.154139,-0.870983,56.8697
145,3.0208,11.296007,16.0,21.097285,-0.466332,-0.154811,-0.870958,56.9413
146,3.0417,11.242219,16.0,21.004934,-0.466142,-0.155488,-0.870939,57.0127
147,3.0625,11.188124,16.0,20.91278,-0.465937,-0.156171,-0.870927,57.0839
148,3.0833,11.133719,16.0,20.82084,-0.465716,-0.15686,-0.870921,57.1549
149,3.1042,11.079,16.0,20.729134,-0.465478,-0.157554,-0.870923,57.2256
150,3.125,11.023966,16.0,20.63768,-0.465223,-0.158254,-0.870932,57.2961
151,3.1458,10.968611,16.0,20.546497,-0.464951,-0.158959,-0.870949,57.3664
152,3.1667,10.912933,16.0,20.455604,-0.464659,-0.15967,-0.870975,57.4363
153,3.1875,10.856927,16.0,20.36502,-0.464349,-0.160387,-0.871009,57.506
154,3.2083,10.800592,16.0,20.274765,-0.464019,-0.161109,-0.871051,57.5753
155,3.2292,10.743922,16.0,20.184859,-0.463668,-0.161836,-0.871103,57.6443
156,3.25,10.686915,16.0,20.09532,-0.463295,-0.162569,-0.871165,57.7129
157,3.2708,10.629565,16.0,20.006169,-0.462901,-0.163307,-0.871237,57.7812
158,3.2917,10.571871,16.0,19.917426,-0.462483,-0.16405,-0.871319,57.8491
159,3.3125,10.513827,16.0,19.829111,-0.462042,-0.164798,-0.871412,57.9166
160,3.3333,10.45543,16.0,19.741244,-0.461576,-0.165551,-0.871516,57.9837
161,3.3542,10.396676,16.0,19.653845,-0.461084,-0.166309,-0.871632,58.0503
162,3.375,10.337561,16.0,19.566936,-0.460566,-0.167073,-0.87176,58.1165
163,3.3958,10.27808,16.0,19.480536,-0.460021,-0.167841,-0.8719,58.1822
164,3.4167,10.218229,16.0,19.394668,-0.459448,-0.168613,-0.872053,58.2474
165,3.4375,10.158005,16.0,19.309351,-0.458846,-0.169391,-0.87222,58.3121
166,3.4583,10.097403,16.0,19.224607,-0.458213,-0.170173,-0.8724,58.3763
167,3.4792,10.036419,16.0,19.140458,-0.45755,-0.170959,-0.872594,58.4399
168,3.5,9.975048,16.0,19.056925,-0.456855,-0.171749,-0.872803,58.503
169,3.5208,9.913285,16.0,18.974029,-0.456127,-0.172544,-0.873027,58.5654
170,3.5417,9.851127,16.0,18.891792,-0.455365,-0.173343,-0.873267,58.6273
171,3.5625,9.788569,16.0,18.810237,-0.454568,-0.174145,-0.873522,58.6885
172,3.5833,9.725605,16.0,18.729384,-0.453735,-0.174951,-0.873794,58.7492
173,3.6042,9.662233,16.0,18.649258,-0.452865,-0.175761,-0.874083,58.8091
174,3.625,9.598445,16.0,18.569879,-0.451957,-0.176574,-0.874389,58.8684
175,3.6458,9.534239,16.0,18.49127,-0.451009,-0.17739,-0.874713,58.9269
176,3.6667,9.469609,16.0,18.413454,-0.450021,-0.17821,-0.875056,58.9848
177,3.6875,9.404551,16.0,18.336453,-0.448991,-0.179032,-0.875417,59.0419
178,3.7083,9.339058,16.0,18.260292,-0.447918,-0.179857,-0.875797,59.0982
179,3.7292,9.273127,16.0,18.184991,-0.446802,-0.180684,-0.876197,59.1538
180,3.75,9.206752,16.0,18.110575,-0.44564,-0.181514,-0.876617,59.2086
181,3.7708,9.139929,16.0,18.037068,-0.444432,-0.182345,-0.877058,59.2625
182,3.7917,9.072651,16.0,17.964491,-0.443176,-0.183178,-0.87752,59.3156
183,3.8125,9.004915,16.0,17.89287,-0.441871,-0.184012,-0.878003,59.3679
184,3.8333,8.936714,16.0,17.822227,-0.440516,-0.184848,-0.878508,59.4193
185,3.8542,8.868044,16.0,17.752587,-0.439109,-0.185685,-0.879036,59.4697
186,3.875,8.798898,16.0,17.683974,-0.43765,-0.186522,-0.879586,59.5193
187,3.8958,8.729273,16.0,17.61641,-0.436136,-0.187359,-0.88016,59.5679
188,3.9167,8.659162,16.0,17.549922,-0.434567,-0.188197,-0.880757,59.6155
189,3.9375,8.588559,16.0,17.484533,-0.432941,-0.189034,-0.881379,59.6622
190,3.9583,8.51746,16.0,17.420267,-0.431257,-0.18987,-0.882024,59.7078
191,3.9792,8.445859,16.0,17.357149,-0.429513,-0.190706,-0.882695,59.7524
192,4.0,8.37375,16.0,17.295205,-0.427708,-0.191539,-0.883391,59.796
193,4.0208,8.301127,16.0,17.234458,-0.42584,-0.192372,-0.884112,59.8385
194,4.0417,8.227985,16.0,17.174934,-0.423909,-0.193201,-0.884859,59.8799
195,4.0625,8.154318,16.0,17.116657,-0.421912,-0.194028,-0.885632,59.9202
196,4.0833,8.080121,16.0,17.059654,-0.419848,-0.194852,-0.886431,59.9593
197,4.1042,8.005386,16.0,17.003949,-0.417717,-0.195673,-0.887257,59.9973
198,4.125,7.948651,16.0,16.962813,-0.416062,-0.196289,-0.887898,60.0109
199,4.1458,7.892989,16.0,16.923423,-0.414409,-0.196888,-0.888538,60.0226
200,4.1667,7.836978,16.0,16.88473,-0.412716,-0.197485,-0.889194,60.0341
201,4.1875,7.78062,16.0,16.846727,-0.410982,-0.19808,-0.889864,60.0456
202,4.2083,7.723918,16.0,16.80941,-0.409207,-0.198672,-0.89055,60.0569
203,4.2292,7.666874,16.0,16.772776,-0.407392,-0.199263,-0.89125,60.0682
204,4.25,7.609491,16.0,16.736817,-0.405537,-0.199851,-0.891964,60.0793
205,4.2708,7.551773,16.0,16.70153,-0.40364,-0.200437,-0.892692,60.0904
206,4.2917,7.493723,16.0,16.666909,-0.401703,-0.20102,-0.893435,60.1013
207,4.3125,7.435343,16.0,16.632949,-0.399725,-0.201601,-0.894191,60.1122
208,4.3333,7.376636,16.0,16.599645,-0.397707,-0.202179,-0.89496,60.123
209,4.3542,7.317606,16.0,16.56699,-0.395647,-0.202755,-0.895742,60.1336
210,4.375,7.258255,16.0,16.534979,-0.393547,-0.203327,-0.896537,60.1442
211,4.3958,7.198588,16.0,16.503606,-0.391406,-0.203897,-0.897344,60.1547
212,4.4167,7.138607,16.0,16.472864,-0.389224,-0.204464,-0.898164,60.1651
213,4.4375,7.078315,16.0,16.442749,-0.387002,-0.205029,-0.898996,60.1754
214,4.4583,7.017715,16.0,16.413253,-0.384738,-0.20559,-0.899838,60.1856
215,4.4792,6.956812,16.0,16.384371,-0.382434,-0.206148,-0.900693,60.1957
216,4.5,6.895608,16.0,16.356094,-0.38009,-0.206702,-0.901557,60.2057
217,4.5208,6.834107,16.0,16.328418,-0.377705,-0.207254,-0.902433,60.2156
218,4.5417,6.772312,16.0,16.301335,-0.375279,-0.207802,-0.903318,60.2255
219,4.5625,6.710226,16.0,16.274838,-0.372813,-0.208346,-0.904213,60.2353
220,4.5833,6.647854,16.0,16.24892,-0.370307,-0.208887,-0.905118,60.2449
221,4.6042,6.585199,16.0,16.223574,-0.367761,-0.209425,-0.906032,60.2545
222,4.625,6.522264,16.0,16.198793,-0.365175,-0.209959,-0.906954,60.264
223,4.6458,6.459053,16.0,16.174569,-0.362549,-0.210489,-0.907884,60.2735
224,4.6667,6.39557,16.0,16.150895,-0.359883,-0.211015,-0.908822,60.2828
225,4.6875,6.331818,16.0,16.127763,-0.357178,-0.211537,-0.909767,60.2921
226,4.7083,6.267802,16.0,16.105165,-0.354433,-0.212056,-0.910719,60.3013
227,4.7292,6.203524,16.0,16.083094,-0.35165,-0.212571,-0.911678,60.3104
228,4.75,6.138989,16.0,16.061541,-0.348827,-0.213081,-0.912642,60.3194
229,4.7708,6.0742,16.0,16.040499,-0.345966,-0.213587,-0.913613,60.3284
230,4.7917,6.009162,16.0,16.019959,-0.343066,-0.21409,-0.914588,60.3373
231,4.8125,5.943878,16.0,15.999913,-0.340128,-0.214587,-0.915568,60.3461
232,4.8333,5.878353,16.0,15.980352,-0.337153,-0.215081,-0.916552,60.3549
233,4.8542,5.81259,16.0,15.961269,-0.334139,-0.21557,-0.91754,60.3636
234,4.875,5.746593,16.0,15.942653,-0.331088,-0.216055,-0.918532,60.3722
235,4.8958,5.680366,16.0,15.924497,-0.328001,-0.216536,-0.919526,60.3807
236,4.9167,5.613914,16.0,15.906792,-0.324876,-0.217012,-0.920522,60.3892
237,4.9375,5.54724,16.0,15.889529,-0.321715,-0.217483,-0.921521,60.3976
238,4.9583,5.480349,16.0,15.872698,-0.318518,-0.21795,-0.922521,60.406
239,4.9792,5.413244,16.0,15.85629,-0.315285,-0.218412,-0.923521,60.4143
240,5.0,5.345931,16.0,15.840297,-0.312016,-0.21887,-0.924522,60.4225
241,5.0208,5.278413,16.0,15.824708,-0.308713,-0.219322,-0.925524,60.4307
242,5.0417,5.210694,16.0,15.809514,-0.305375,-0.219771,-0.926524,60.4388
243,5.0625,5.142779,16.0,15.794707,-0.302003,-0.220214,-0.927524,60.4468
244,5.0833,5.074673,16.0,15.780275,-0.298597,-0.220652,-0.928522,60.4548
245,5.1042,5.006378,16.0,15.766209,-0.295158,-0.221086,-0.929518,60.4628
246,5.125,4.937901,16.0,15.7525,-0.291685,-0.221515,-0.930511,60.4707
247,5.1458,4.869245,16.0,15.739136,-0.28818,-0.221939,-0.931502,60.4786
248,5.1667,4.800415,16.0,15.726109,-0.284643,-0.222358,-0.932489,60.4864
249,5.1875,4.731415,16.0,15.713409,-0.281075,-0.222773,-0.933472,60.4941
250,5.2083,4.662249,16.0,15.701023,-0.277475,-0.223182,-0.93445,60.5018
251,5.2292,4.592923,16.0,15.688943,-0.273844,-0.223587,-0.935424,60.5095
252,5.25,4.523441,16.0,15.677159,-0.270184,-0.223986,-0.936392,60.5171
253,5.2708,4.453807,16.0,15.665658,-0.266494,-0.224381,-0.937355,60.5247
254,5.2917,4.384026,16.0,15.654431,-0.262774,-0.224771,-0.938311,60.5323
255,5.3125,4.314103,16.0,15.643467,-0.259026,-0.225156,-0.93926,60.5398
256,5.3333,4.244042,16.0,15.632755,-0.25525,-0.225537,-0.940202,60.5473
257,5.3542,4.173848,16.0,15.622285,-0.251446,-0.225912,-0.941137,60.5547
258,5.375,4.103526,16.0,15.612045,-0.247615,-0.226283,-0.942063,60.5621
259,5.3958,4.033081,16.0,15.602023,-0.243758,-0.226649,-0.942981,60.5695
260,5.4167,3.962516,16.0,15.59221,-0.239875,-0.22701,-0.943889,60.5769
261,5.4375,3.891838,16.0,15.582594,-0.235966,-0.227366,-0.944788,60.5842
262,5.4583,3.821051,16.0,15.573162,-0.232033,-0.227718,-0.945677,60.5915
263,5.4792,3.75016,16.0,15.563905,-0.228075,-0.228065,-0.946556,60.5988
264,5.5,3.679169,16.0,15.55481,-0.224094,-0.228408,-0.947424,60.606
265,5.5208,3.608084,16.0,15.545866,-0.220089,-0.228746,-0.948281,60.6133
266,5.5417,3.536909,16.0,15.537061,-0.216062,-0.229079,-0.949126,60.6205
267,5.5625,3.46565,16.0,15.528383,-0.212013,-0.229409,-0.949959,60.6277
268,5.5833,3.394312,16.0,15.519821,-0.207943,-0.229734,-0.95078,60.6349
269,5.6042,3.322899,16.0,15.511362,-0.203852,-0.230054,-0.951588,60.6421
270,5.625,3.251416,16.0,15.502995,-0.199742,-0.230371,-0.952383,60.6493
271,5.6458,3.179869,16.0,15.494707,-0.195611,-0.230683,-0.953164,60.6564
272,5.6667,3.108262,16.0,15.486487,-0.191462,-0.230991,-0.953932,60.6636
273,5.6875,3.036602,16.0,15.478322,-0.187294,-0.231296,-0.954685,60.6707
274,5.7083,2.964892,16.0,15.4702,-0.183109,-0.231596,-0.955424,60.6779
275,5.7292,2.893138,16.0,15.462108,-0.178906,-0.231893,-0.956148,60.685
276,5.75,2.821345,16.0,15.454034,-0.174687,-0.232186,-0.956856,60.6922
277,5.7708,2.749519,16.0,15.445965,-0.170452,-0.232476,-0.95755,60.6993
278,5.7917,2.677664,16.0,15.437889,-0.166202,-0.232762,-0.958227,60.7065
279,5.8125,2.605786,16.0,15.429794,-0.161937,-0.233045,-0.958888,60.7137
280,5.8333,2.53389,16.0,15.421666,-0.157658,-0.233324,-0.959533,60.7208
281,5.8542,2.461981,16.0,15.413492,-0.153366,-0.233601,-0.960161,60.728
282,5.875,2.390066,16.0,15.40526,-0.14906,-0.233874,-0.960773,60.7352
283,5.8958,2.318148,16.0,15.396957,-0.144742,-0.234145,-0.961367,60.7424
284,5.9167,2.246233,16.0,15.38857,-0.140413,-0.234413,-0.961943,60.7497
285,5.9375,2.174327,16.0,15.380086,-0.136072,-0.234679,-0.962502,60.7569
286,5.9583,2.102435,16.0,15.371491,-0.13172,-0.234942,-0.963043,60.7642
287,5.9792,2.030563,16.0,15.362772,-0.127359,-0.235203,-0.963566,60.7715
288,6.0,1.958715,16.0,15.353916,-0.122987,-0.235462,-0.96407,60.7788
289,6.0208,1.886898,16.0,15.34491,-0.118607,-0.235719,-0.964556,60.7861
290,6.0417,1.815116,16.0,15.33574,-0.114219,-0.235974,-0.965023,60.7935
291,6.0625,1.743376,16.0,15.326393,-0.109822,-0.236228,-0.965472,60.8009
292,6.0833,1.671682,16.0,15.316856,-0.105418,-0.23648,-0.965901,60.8084
293,6.1042,1.600041,16.0,15.307114,-0.101008,-0.236731,-0.966311,60.8158
294,6.125,1.528457,16.0,15.297154,-0.096591,-0.236981,-0.966701,60.8233
295,6.1458,1.456937,16.0,15.286962,-0.092168,-0.237229,-0.967072,60.8309
296,6.1667,1.385485,16.0,15.276525,-0.087739,-0.237478,-0.967422,60.8385
297,6.1875,1.314108,16.0,15.265828,-0.083306,-0.237725,-0.967753,60.8461
